,id,sum,group
804,Matthias Gottfried Eichler,2,2
805,Jean-Baptiste Oudry,2,2
806,Jean-Baptiste Morret,2,2
807,Melchior Lorch,2,2
808,Jean Mathieu,2,2
809,Master with the Banderoles,2,2
810,Pierre-Ambroise-Francois Choderlos de Laclos,2,2
811,Carl Pickhardt,2,2
812,Jean-Frédéric Schall,2,2
813,Master of the Protective Saints of Cologne,2,2
814,Jean-Louis De Marne,2,2
815,Jean Gabriel Caquet,2,2
816,Jean Henry Alexandre Pernet,2,2
817,Chambolle-Duru,2,2
818,Pierre II Woeiriot de Bouzey,2,2
819,Camligue,2,2
820,Watteau de Lille,2,2
821,Jean Jacques Lagrenée II,2,2
822,Michel Aubert,2,2
823,Pierre-Laurent Auvray,2,2
824,Maurice Blot,2,2
825,Max Fernekes,2,2
826,Jean-Gaspard Heilmann,2,2
827,Jean-Baptiste Carpeaux,2,2
828,Michael Wolgemut,2,2
829,Jean-Louis Delignon,2,2
830,"Louis-Philippe-Joseph, duc d' Orléans",2,2
831,Master of the Cologne Arms,2,2
832,Lionel Lindsay,2,2
833,William Rogers,2,2
834,Anacreon,2,2
835,O.A. Kirby,2,2
836,Majel G. Claflin,2,2
837,American 18th Century,2,2
838,William Walker,2,2
839,Margaret Golden,2,2
840,Margaret Knapp,2,2
841,Antonio Rossellino,2,2
842,Antonio del Pollaiuolo,2,2
843,Lelah Nelson,2,2
844,Margaret Stottlemeyer,2,2
845,William Hoffman,2,2
846,Margery Parish,2,2
847,Armin Landeck,2,2
848,Nicolas-René Jollain,2,2
849,Nicolas-Dauphin de Beauvais,2,2
850,Lambert Hopfer,2,2
851,William Frank,2,2
852,L. Roger,2,2
853,L. Legoux,2,2
854,Asa Cheffetz,2,2
855,Oskar Kokoschka,2,2
856,Mabel S. Kelton,2,2
857,Maarten de Vos,2,2
